8,E01000850,W1A,2022-01-06 00:21:49.373000000,2022-01-06 00:21:49.373000000
8,E01000958,N1C,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01000979,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01000984,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01000991,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01000992,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001006,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001008,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001012,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001013,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001045,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001048,CR9,2022-01-06 00:21:49.374000000,2022-01-06 00:21:49.374000000
8,E01001079,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01001110,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01001117,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01001134,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01001167,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01001174,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01001178,CR9,2022-01-06 00:21:49.375000000,2022-01-06 00:21:49.375000000
8,E01002726,W1A,2022-01-06 00:21:49.385000000,2022-01-06 00:21:49.385000000
8,E01004086,CR9,2022-01-06 00:21:49.396000000,2022-01-06 00:21:49.396000000
8,E01004562,SW95,2022-01-06 00:21:49.400000000,2022-01-06 00:21:49.400000000
8,E01004658,W1N,2022-01-06 00:21:49.400000000,2022-01-06 00:21:49.400000000
8,E01004661,W1A,2022-01-06 00:21:49.400000000,2022-01-06 00:21:49.400000000
8,E01004714,W1A,2022-01-06 00:21:49.401000000,2022-01-06 00:21:49.401000000
8,E01004734,W1A,2022-01-06 00:21:49.401000000,2022-01-06 00:21:49.401000000
8,E01004761,W1X,2022-01-06 00:21:49.401000000,2022-01-06 00:21:49.401000000
8,E01004762,W1X,2022-01-06 00:21:49.401000000,2022-01-06 00:21:49.401000000
8,E01004817,BL78,2022-01-06 00:21:49.402000000,2022-01-06 00:21:49.402000000
